,uniprot_id,ev_association_score,tau_scores
495,Q8IYW2,0.840298574,0.053442519
496,Q3ZCM7,0.964935032,0.150248619
497,P42681,0.833852149,0.035714286
498,O14530,0.948612855,0.240712618
499,P19971,0.649181708,0.035714286
500,P57075,0.716077028,0.035714286
501,Q5VVX9,1.068433738,0.111876773
502,Q8N7F7,0.999444582,0.035714286
503,Q9H347,1.076813198,0.062899569
504,P0CB47,0.931969663,0.011259215
505,Q495M9,0.826142612,0.035714286
506,Q9UIW0,1.679918498,0.039993515
507,P09327,0.967193994,0.035714286
508,Q8N398,1.236583527,0.035714286
509,Q96S15,0.768867573,0.151652931
510,Q7Z5U6,1.124093837,0.218831057
511,B1ANS9,1.04315626,0.035714286
512,Q96J92,1.162516993,0.035714286
513,P19544,0.985559445,0.048049972
514,A4UGR9,0.775833372,0.035714286
515,Q9Y2T7,1.304051962,0.074869657
516,Q9H869,1.160070041,0.231460614
517,Q9H171,0.77378907,0.035714286
518,Q9Y2Y4,1.607864126,0.108478076
519,Q9NU63,1.117360633,0.019098714
520,Q9GZX5,1.252676599,0.243840471
